fraction,mode,n_samples,mean_score_drop,flip_rate,base_accuracy,dataset,model
0.2,top,46,2.053099289395234,0.6086956521739131,0.5974025974025974,DodgerLoopDay,MrSQM
0.05,bottom,50,0.1376893294150163,0.16,0.7716535433070866,DodgerLoopGame,MrSQM
0.05,random,50,0.1785020057569446,0.1533333333333333,0.7716535433070866,DodgerLoopGame,MrSQM
0.05,top,50,0.2249448037818812,0.12,0.7716535433070866,DodgerLoopGame,MrSQM
0.1,bottom,50,0.1896687610562105,0.14,0.7716535433070866,DodgerLoopGame,MrSQM
0.1,random,50,0.2279280312390165,0.1466666666666666,0.7716535433070866,DodgerLoopGame,MrSQM
0.1,top,50,0.3394366716599106,0.28,0.7716535433070866,DodgerLoopGame,MrSQM
0.2,bottom,50,0.2376899375807749,0.2,0.7716535433070866,DodgerLoopGame,MrSQM
0.2,random,50,0.2486167991355439,0.1466666666666666,0.7716535433070866,DodgerLoopGame,MrSQM
0.2,top,50,0.4640578036446956,0.42,0.7716535433070866,DodgerLoopGame,MrSQM
0.05,bottom,50,0.0939490813270916,0.0,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.05,random,50,0.3181773586715651,0.0399999999999999,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.05,top,50,0.6453503646579806,0.1,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.1,bottom,50,0.2288324472107178,0.02,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.1,random,50,0.5496413704006354,0.12,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.1,top,50,1.442459375970846,0.24,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.2,bottom,50,0.1997548591714713,0.04,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.2,random,50,0.8865688006343254,0.2466666666666666,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.2,top,50,2.392923611382651,0.92,0.9603174603174603,DodgerLoopWeekend,MrSQM
0.05,bottom,50,0.1586963835765272,0.04,0.87,ECG200,MrSQM
0.05,random,50,0.7452881520381348,0.0466666666666666,0.87,ECG200,MrSQM
0.05,top,50,1.0646004345219349,0.06,0.87,ECG200,MrSQM
0.1,bottom,50,0.3635031732131676,0.06,0.87,ECG200,MrSQM
0.1,random,50,1.0658974805936738,0.0533333333333333,0.87,ECG200,MrSQM
0.1,top,50,1.5386545461190813,0.1,0.87,ECG200,MrSQM
0.2,bottom,50,0.7187685341622833,0.06,0.87,ECG200,MrSQM
0.2,random,50,1.597232404392316,0.1,0.87,ECG200,MrSQM
0.2,top,50,1.960818482839538,0.22,0.87,ECG200,MrSQM
0.05,bottom,50,0.0209586180707855,0.0,0.9457777777777778,ECG5000,MrSQM
0.05,random,50,0.5871890096471303,0.0,0.9457777777777778,ECG5000,MrSQM
0.05,top,50,2.4427628422512693,0.0,0.9457777777777778,ECG5000,MrSQM
0.1,bottom,50,0.3940272984223659,0.0,0.9457777777777778,ECG5000,MrSQM
0.1,random,50,1.1794859969278486,0.0,0.9457777777777778,ECG5000,MrSQM
