dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
DodgerLoopDay,lr_classifier,0.0067341670001042,0.5584415584415584,0.5504975872988295,0.560396779016203,3
DodgerLoopDay,lr_classifier,0.0067077080020681,0.5584415584415584,0.5504975872988295,0.560396779016203,4
DodgerLoopDay,lr_classifier,0.0069630409998353,0.5584415584415584,0.5504975872988295,0.560396779016203,5
DodgerLoopGame,lr_classifier,0.0015174580003076,0.7637795275590551,0.7604376257545271,0.7611060061154327,1
DodgerLoopGame,lr_classifier,0.0013876249977329,0.7637795275590551,0.7604376257545271,0.7611060061154327,2
DodgerLoopGame,lr_classifier,0.0013122090022079,0.7637795275590551,0.7604376257545271,0.7611060061154327,3
DodgerLoopGame,lr_classifier,0.0012674999998125,0.7637795275590551,0.7604376257545271,0.7611060061154327,4
DodgerLoopGame,lr_classifier,0.0012973340017197,0.7637795275590551,0.7604376257545271,0.7611060061154327,5
DodgerLoopWeekend,lr_classifier,0.0011412499989091,0.984126984126984,0.9802197802197804,0.98426652712367,1
DodgerLoopWeekend,lr_classifier,0.0012834580011258,0.984126984126984,0.9802197802197804,0.98426652712367,2
DodgerLoopWeekend,lr_classifier,0.0013200829998822,0.984126984126984,0.9802197802197804,0.98426652712367,3
DodgerLoopWeekend,lr_classifier,0.0012129589995311,0.984126984126984,0.9802197802197804,0.98426652712367,4
DodgerLoopWeekend,lr_classifier,0.001352625000436,0.984126984126984,0.9802197802197804,0.98426652712367,5
Earthquakes,lr_classifier,0.0023742080011288,0.6762589928057554,0.5382059800664452,0.663543583737661,1
Earthquakes,lr_classifier,0.00251387499884,0.6762589928057554,0.5382059800664452,0.663543583737661,2
Earthquakes,lr_classifier,0.0024664169977768,0.6762589928057554,0.5382059800664452,0.663543583737661,3
Earthquakes,lr_classifier,0.0023229170001286,0.6762589928057554,0.5382059800664452,0.663543583737661,4
Earthquakes,lr_classifier,0.0021227090001048,0.6762589928057554,0.5382059800664452,0.663543583737661,5
ECG200,lr_classifier,0.001802916998713,0.83,0.8236331569664903,0.8330158730158729,1
ECG200,lr_classifier,0.0018088329998136,0.83,0.8236331569664903,0.8330158730158729,2
ECG200,lr_classifier,0.0017202920025738,0.83,0.8236331569664903,0.8330158730158729,3
ECG200,lr_classifier,0.0016787919994385,0.83,0.8236331569664903,0.8330158730158729,4
ECG200,lr_classifier,0.0016879170034371,0.83,0.8236331569664903,0.8330158730158729,5
ECG5000,lr_classifier,0.0221908750027068,0.9015555555555556,0.5755659035650514,0.909388756650131,1
ECG5000,lr_classifier,0.0189719999980297,0.9015555555555556,0.5755659035650514,0.909388756650131,2
ECG5000,lr_classifier,0.0221053749992279,0.9015555555555556,0.5755659035650514,0.909388756650131,3
ECG5000,lr_classifier,0.0192983749984705,0.9015555555555556,0.5755659035650514,0.909388756650131,4
ECG5000,lr_classifier,0.0221548750014335,0.9015555555555556,0.5755659035650514,0.909388756650131,5
ECGFiveDays,lr_classifier,0.0016903750001802,0.9698025551684089,0.9697633583662002,0.9697696804310726,1
ECGFiveDays,lr_classifier,0.0017100000004575,0.9698025551684089,0.9697633583662002,0.9697696804310726,2
ECGFiveDays,lr_classifier,0.0015253749988914,0.9698025551684089,0.9697633583662002,0.9697696804310726,3
ECGFiveDays,lr_classifier,0.0013840829997207,0.9698025551684089,0.9697633583662002,0.9697696804310726,4
ECGFiveDays,lr_classifier,0.0013349589971767,0.9698025551684089,0.9697633583662002,0.9697696804310726,5
ElectricDevices,lr_classifier,0.0189030000001366,0.447801841525094,0.3793834504287248,0.4492908460066931,1
ElectricDevices,lr_classifier,0.0177529590000631,0.447801841525094,0.3793834504287248,0.4492908460066931,2
ElectricDevices,lr_classifier,0.0178489999998419,0.447801841525094,0.3793834504287248,0.4492908460066931,3
ElectricDevices,lr_classifier,0.017660125002294,0.447801841525094,0.3793834504287248,0.4492908460066931,4
ElectricDevices,lr_classifier,0.017837708001025,0.447801841525094,0.3793834504287248,0.4492908460066931,5
EOGHorizontalSignal,lr_classifier,0.4627024999972491,0.4005524861878453,0.4035527365841135,0.4034694427398456,1
EOGHorizontalSignal,lr_classifier,0.4585602910010493,0.4005524861878453,0.4035527365841135,0.4034694427398456,2
EOGHorizontalSignal,lr_classifier,0.4594914589979453,0.4005524861878453,0.4035527365841135,0.4034694427398456,3
EOGHorizontalSignal,lr_classifier,0.458646665996639,0.4005524861878453,0.4035527365841135,0.4034694427398456,4
EOGHorizontalSignal,lr_classifier,0.4592356659995857,0.4005524861878453,0.4035527365841135,0.4034694427398456,5
EOGVerticalSignal,lr_classifier,0.3648583750000398,0.3674033149171271,0.338823821899672,0.3397453514537301,1
EOGVerticalSignal,lr_classifier,0.3657634999981383,0.3674033149171271,0.338823821899672,0.3397453514537301,2
EOGVerticalSignal,lr_classifier,0.3649759999971138,0.3674033149171271,0.338823821899672,0.3397453514537301,3
EOGVerticalSignal,lr_classifier,0.3645671249978477,0.3674033149171271,0.338823821899672,0.3397453514537301,4
EOGVerticalSignal,lr_classifier,0.3646467920007126,0.3674033149171271,0.338823821899672,0.3397453514537301,5
EthanolLevel,lr_classifier,0.1972460840006533,0.74,0.7362575945657166,0.7362964131195358,1
EthanolLevel,lr_classifier,0.1975907499981986,0.74,0.7362575945657166,0.7362964131195358,2
EthanolLevel,lr_classifier,0.1973374170011084,0.74,0.7362575945657166,0.7362964131195358,3
EthanolLevel,lr_classifier,0.1970239160000346,0.74,0.7362575945657166,0.7362964131195358,4
EthanolLevel,lr_classifier,0.198074332998658,0.74,0.7362575945657166,0.7362964131195358,5
FaceAll,lr_classifier,0.009091707997868,0.763905325443787,0.7291079217334288,0.7636937740571149,1
FaceAll,lr_classifier,0.0088502079997851,0.763905325443787,0.7291079217334288,0.7636937740571149,2
FaceAll,lr_classifier,0.009083749999263,0.763905325443787,0.7291079217334288,0.7636937740571149,3
FaceAll,lr_classifier,0.0090038330017705,0.763905325443787,0.7291079217334288,0.7636937740571149,4
FaceAll,lr_classifier,0.0102710000028309,0.763905325443787,0.7291079217334288,0.7636937740571149,5
FaceFour,lr_classifier,0.0027264160016784,0.8636363636363636,0.8650693035835023,0.8641127297313909,1
FaceFour,lr_classifier,0.0027311670019116,0.8636363636363636,0.8650693035835023,0.8641127297313909,2
FaceFour,lr_classifier,0.0027029579978261,0.8636363636363636,0.8650693035835023,0.8641127297313909,3
FaceFour,lr_classifier,0.0029909170007158,0.8636363636363636,0.8650693035835023,0.8641127297313909,4
FaceFour,lr_classifier,0.0029948340015835,0.8636363636363636,0.8650693035835023,0.8641127297313909,5
FacesUCR,lr_classifier,0.0066686669997579,0.7307317073170732,0.7024669069649339,0.7328138198536732,1
FacesUCR,lr_classifier,0.0064358339986938,0.7307317073170732,0.7024669069649339,0.7328138198536732,2
FacesUCR,lr_classifier,0.0062574170005973,0.7307317073170732,0.7024669069649339,0.7328138198536732,3
FacesUCR,lr_classifier,0.007396917000733,0.7307317073170732,0.7024669069649339,0.7328138198536732,4
FacesUCR,lr_classifier,0.0075167499999224,0.7307317073170732,0.7024669069649339,0.7328138198536732,5
FiftyWords,lr_classifier,0.1724964169989107,0.5846153846153846,0.4392037260660767,0.5808653974360865,1
FiftyWords,lr_classifier,0.1691328329980024,0.5846153846153846,0.4392037260660767,0.5808653974360865,2
FiftyWords,lr_classifier,0.1708747080010653,0.5846153846153846,0.4392037260660767,0.5808653974360865,3
FiftyWords,lr_classifier,0.172524624998914,0.5846153846153846,0.4392037260660767,0.5808653974360865,4
FiftyWords,lr_classifier,0.1708127919991966,0.5846153846153846,0.4392037260660767,0.5808653974360865,5
Fish,lr_classifier,0.0288748340026359,0.8457142857142858,0.8491763163198343,0.8516165002493798,1
Fish,lr_classifier,0.0300614580010005,0.8457142857142858,0.8491763163198343,0.8516165002493798,2
Fish,lr_classifier,0.0291555410003638,0.8457142857142858,0.8491763163198343,0.8516165002493798,3
Fish,lr_classifier,0.030384708999918,0.8457142857142858,0.8491763163198343,0.8516165002493798,4
Fish,lr_classifier,0.0308557919997838,0.8457142857142858,0.8491763163198343,0.8516165002493798,5
FordA,lr_classifier,0.0753993750004156,0.4946969696969697,0.494380957795592,0.4939787608302021,1
FordA,lr_classifier,0.0617612920032115,0.4946969696969697,0.494380957795592,0.4939787608302021,2
FordA,lr_classifier,0.0699410419983905,0.4946969696969697,0.494380957795592,0.4939787608302021,3
FordA,lr_classifier,0.0612270410019846,0.4946969696969697,0.494380957795592,0.4939787608302021,4
FordA,lr_classifier,0.0793987920005747,0.4946969696969697,0.494380957795592,0.4939787608302021,5
FordB,lr_classifier,0.0449652499992225,0.4888888888888889,0.4860689655172414,0.4864449553001277,1
FordB,lr_classifier,0.0530992500025604,0.4888888888888889,0.4860689655172414,0.4864449553001277,2
FordB,lr_classifier,0.0488428339995152,0.4888888888888889,0.4860689655172414,0.4864449553001277,3
FordB,lr_classifier,0.0502361670005484,0.4888888888888889,0.4860689655172414,0.4864449553001277,4
FordB,lr_classifier,0.0501094159990316,0.4888888888888889,0.4860689655172414,0.4864449553001277,5
FreezerRegularTrain,lr_classifier,0.0031548340011795,0.9817543859649124,0.9817487684729064,0.9817487684729064,1
FreezerRegularTrain,lr_classifier,0.0032021250008256,0.9817543859649124,0.9817487684729064,0.9817487684729064,2
FreezerRegularTrain,lr_classifier,0.0031122920008783,0.9817543859649124,0.9817487684729064,0.9817487684729064,3
